s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
15.1936038,13.8659405,5.2900837,0.067791,-0.0531656,8.0,0.0
15.2935617,13.96570225,5.29632165,0.0624319,-0.0536146,8.0,0.0
15.3935196,14.065464,5.3025596,0.0570728,-0.0540636,8.0,0.0
15.493477500000001,14.16528825,5.30771895,0.0516236,-0.05451505,8.0,0.0
15.5934354,14.2651125,5.3128783,0.0461744,-0.0549665,8.0,0.0
15.693393350000001,14.3649886,5.3169405,0.0406346,-0.05542115,8.0,0.0
15.7933513,14.4648647,5.3210027,0.0350948,-0.0558758,8.0,0.0
15.893309200000001,14.5647755,5.323948850000001,0.029464,-0.05633405,8.0,0.0
15.9932671,14.6646863,5.326895,0.0238332,-0.0567923,8.0,0.0
16.09322505,14.7646307,5.32870675,0.0181102,-0.05725305,8.0,0.0
16.193183,14.8645751,5.3305185,0.0123872,-0.0577138,8.0,0.0
16.2931409,14.96452925,5.33117695,0.0065718999999999994,-0.058178900000000006,8.0,0.0
16.3930988,15.0644834,5.3318354,0.0007566,-0.058644,8.0,0.0
16.4930567,15.16443945,5.3313219499999995,3.1364405,-0.0591124,8.0,0.0
16.5930146,15.2643955,5.3308085,6.2721244,-0.0595808,8.0,0.0
16.69297255,15.3643398,5.3291045,6.2661216,-0.060053350000000005,8.0,0.0
16.7929305,15.4642841,5.3274005,6.2601188,-0.0605259,8.0,0.0
16.8928884,15.56419515,5.32448745,6.25402135,-0.06100305,8.0,0.0
16.9928463,15.6641062,5.3215744,6.2479239,-0.0614802,8.0,0.0
17.09280425,15.76398175,5.3174333,6.24173025,-0.0619609,8.0,0.0
17.1927622,15.8638573,5.3132922,6.2355366,-0.0624416,8.0,0.0
17.2927201,15.963668,5.30790495,6.22924665,-0.0629277,8.0,0.0
17.392678,16.0634787,5.3025177,6.2229567,-0.0634138,8.0,0.0
17.4926359,16.16321435,5.2958655,6.216569,-0.0639042,8.0,0.0
