s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
279.9582084;3.4248664;-39.6790582;1.2189285;0.0137579;8.581594;3.7021248
280.0581935;3.3309837;-39.6446624;1.2202966;0.013607;8.62462;3.7002995
280.1581786;3.2370544;-39.6103945;1.2216495;0.0134564;8.6674114;3.6986826
280.2581637;3.1430789;-39.5762529;1.2229875;0.0133076;8.709974;3.697159
280.3581487;3.0490583;-39.5422365;1.2243107;0.0131593;8.7523121;3.6958272
280.4581338;2.9549928;-39.5083437;1.225619;0.0130111;8.7944314;3.6947028
280.5581189;2.8608835;-39.4745734;1.2269125;0.012863;8.8363371;3.6937961
280.658104;2.7667306;-39.4409241;1.2281912;0.0127147;8.8780348;3.6931302
280.758089;2.6725353;-39.4073946;1.2294551;0.0125664;8.9195301;3.6926881
280.8580741;2.5782977;-39.3739834;1.2307041;0.0124182;8.9608284;3.6924523
280.9580592;2.4840189;-39.3406893;1.2319383;0.0122701;9.0019345;3.6924314
281.0580443;2.389699;-39.3075108;1.2331577;0.0121219;9.0428536;3.6926321
281.1580293;2.2953393;-39.2744468;1.2343623;0.0119737;9.0835906;3.6930505
281.2580144;2.2009398;-39.2414956;1.2355521;0.0118256;9.1241502;3.6936833
281.3579995;2.1065017;-39.2086562;1.2367271;0.0116775;9.1645373;3.6945308
281.4579846;2.0120251;-39.1759269;1.2378873;0.0115295;9.2047564;3.6955929
281.5579696;1.917511;-39.1433067;1.2390327;0.0113814;9.244812;3.6968691
281.6579547;1.8229596;-39.110794;1.2401632;0.0112334;9.2847085;3.6983586
281.7579398;1.728372;-39.0783876;1.241279;0.0110854;9.3244503;3.7000612
281.8579249;1.6337483;-39.0460859;1.24238;0.0109374;9.3640416;3.7019759
281.9579099;1.5390896;-39.0138879;1.2434662;0.0107894;9.4034866;3.7041027
282.057895;1.4443959;-38.9817919;1.2445375;0.0106414;9.4427893;3.7064408
282.1578801;1.3496685;-38.9497967;1.2455941;0.0104935;9.4819537;3.7089904
282.2578651;1.2549072;-38.9179009;1.2466359;0.0103456;9.5209839;3.7117504
282.3578502;1.1601133;-38.8861032;1.2476629;0.0101976;9.5598835;3.714721
282.4578353;1.0652866;-38.854402;1.2486751;0.0100497;9.5986565;3.7179013
282.5578204;0.9704286;-38.8227963;1.2496726;0.0099018;9.6373065;3.7212917
282.6578054;0.8755389;-38.7912844;1.2506552;0.0097539;9.6758371;3.7248914
282.7577905;0.7806189;-38.7598651;1.2516231;0.0096061;9.7142519;3.7165111
282.8577756;0.6856684;-38.7285369;1.2525761;0.0094582;9.7524295;3.6938775
282.9577607;0.5906887;-38.6972987;1.2535144;0.0093104;9.7902271;3.6714582
283.0577457;0.4956795;-38.6661487;1.2544379;0.0091625;9.8276512;3.6492494
283.1577308;0.4006423;-38.635086;1.2553467;0.0090147;9.8647083;3.6272479
283.2577159;0.3055767;-38.6041087;1.2562406;0.0088669;9.9014045;3.6054501
283.357701;0.210484;-38.5732159;1.2571198;0.0087191;9.9377459;3.5838528
283.457686;0.1153641;-38.5424059;1.2579842;0.0085713;9.9737384;3.5624528
283.5576711;0.0202182;-38.5116776;1.2588338;0.0084235;10.0093877;3.541247
283.6576562;-0.0749539;-38.4810292;1.2596686;0.0082757;10.0446994;3.5202323
283.7576413;-0.170151;-38.4504598;1.2604887;0.008128;10.0796789;3.4994058
283.8576263;-0.2653732;-38.4199675;1.261294;0.0079802;10.1143316;3.4787646
283.9576114;-0.3606194;-38.3895514;1.2620845;0.0078324;10.1486626;3.4583058
284.0575965;-0.4558898;-38.3592098;1.2628602;0.0076847;10.182677;3.4380267
284.1575816;-0.551183;-38.3289415;1.2636212;0.0075369;10.2163796;3.4179246
284.2575666;-0.6464994;-38.298745;1.2643674;0.0073892;10.2497754;3.3979969
284.3575517;-0.7418378;-38.2686189;1.2650988;0.0072415;10.2828689;3.3782411
284.4575368;-0.8371983;-38.2385618;1.2658155;0.0070937;10.3156648;3.3586546
284.5575219;-0.9325797;-38.2085724;1.2665173;0.006946;10.3481676;3.3392349
